,,from,to,distance
33241803,2071244784,33241803,2071244784,20.08128
33241803,2071244838,33241803,2071244838,13.97329
33241803,9209919063,33241803,9209919063,12.524052
33242031,65292112,33242031,65292112,71.494105
33242031,65292114,33242031,65292114,75.128715
54763573,3532718877,54763573,3532718877,85.63522
54763573,7358092398,54763573,7358092398,161.062359
54891208,54891397,54891208,54891397,101.148943
54891208,5854734895,54891208,5854734895,56.184118
54891395,6878237391,54891395,6878237391,62.957375
54891395,7094718373,54891395,7094718373,78.904606
54891397,5550974213,54891397,5550974213,58.561883
54891397,6337146036,54891397,6337146036,92.816932
54891397,8355723019,54891397,8355723019,42.529844
54891446,293818041,54891446,293818041,19.169341
54891446,6329856054,54891446,6329856054,6.793512
54891461,302034179,54891461,302034179,108.777292
54891461,6376393440,54891461,6376393440,22.504618
54891483,3860562971,54891483,3860562971,7.669617
54891501,300459900,54891501,300459900,72.996923
54891501,6376403460,54891501,6376403460,12.549649
54891569,9247776182,54891569,9247776182,8.985001
65279851,65279852,65279851,65279852,147.067233
65279851,7231450507,65279851,7231450507,42.298795
65279852,7231450513,65279852,7231450513,44.592304
65279860,65279862,65279860,65279862,74.151541
65279860,1221414382,65279860,1221414382,135.980322
65279862,6376359703,65279862,6376359703,58.923032
65279884,65279891,65279884,65279891,84.230915
65279884,65292364,65279884,65292364,196.290561
65279891,65279893,65279891,65279893,86.461574
65279891,65292366,65279891,65292366,200.555094
65279893,65279895,65279893,65279895,83.031071
65279893,6369040241,65279893,6369040241,135.212332
65279895,65279896,65279895,65279896,86.0633
65279895,65292373,65279895,65292373,200.746212
65279896,65301181,65279896,65301181,100.113221
65279896,6503654575,65279896,6503654575,12.796144
65279897,1350266856,65279897,1350266856,44.499752
65279910,65279912,65279910,65279912,85.485678
65279910,4152343454,65279910,4152343454,35.648661
65279912,65279914,65279912,65279914,85.344305
65279912,65292335,65279912,65292335,202.313702
65279914,65279916,65279914,65279916,85.435314
65279914,6325853006,65279914,6325853006,11.963761
65279916,65279918,65279916,65279918,85.486404
65279916,65292339,65279916,65292339,202.595216
65279918,65279924,65279918,65279924,79.235609
65279918,65292341,65279918,65292341,202.667828
65279924,830559296,65279924,830559296,47.142273
65279947,315073022,65279947,315073022,20.776353
65279947,315073192,65279947,315073192,11.096805
65279961,65279965,65279961,65279965,81.920341
65279961,65349905,65279961,65349905,77.825155
65279965,65335865,65279965,65335865,76.323871
65279971,65326126,65279971,65326126,33.023134
65279971,3069448500,65279971,3069448500,40.507773
65280002,3646916984,65280002,3646916984,20.829943
65280018,65350597,65280018,65350597,85.018558
65280018,3646916978,65280018,3646916978,70.932527
65280018,3646916985,65280018,3646916985,28.386652
65280044,65280050,65280044,65280050,207.392075
65280044,65340605,65280044,65340605,93.831992
65280069,65280072,65280069,65280072,207.359254
